Project Status,1st Review,2nd Review,Average Score,Initial Review Notes,Project #,Project Combined,Project Title,Need:,Idea:,Coordinates,Location?,Project Type,Dept.,Who Benefits?,Council District ,Neighborhood
Already Funded,,,,It is a 2017 NPSF project,17-508,,Traffic-calming on Wallingford Ave,Cars speeding and the new school means more kids on these roads,Speed bumps or anything to deter speeding down the road,"47.695970, -122.336510",Wallingford and 92nd through 95th ,Traffic-Calming,SDOT,The new school on Wallingford and 90th means more people driving through Licton Springs neighborhood and more kids walking through it as well.  Currently people speed through the neighborhood causing a dangerous environment for walking and biking families and children.,5,Licton Springs
Already Funded,,,,In the queue,17-486,,"Pedestrian Improvements at Magnuson Park, Solid Ground Campus, SDOT access road ""A"" St","The pedestrian access to Magnuson Park and from the Solid Ground Campus at NE 70th St & Sand Point Way NE has no ADA access curb ramp, no crosswalk and no wheelchair path between Sand Point Way NE and ""A"" St. at the above-mentioned intersection at the west edge of the Sand Point Campus, just gravel that impedes wheelchairs and walkers' aides alike."," 1) Install a curb ramp on the west side of ""A"" St. that is ""in line"" with the east/west crosswalk on the south side of the NE 70th St & Sand Point Way NE intersection.  2) Install an appropriate crosswalk across ""A"" St. that encompasses the curb ramp, the east/west sidewalk along the south side of Solid Ground's Phyllis Gutierrez Kenney Pl (terminating at the east side of ""A"" St. across from proposed curb ramp.)  3) Pave over or otherwise provide appropriate hard surface between the Sand Point Way NE east sidewalk and the ""A"" St. site of the curb ramp installed in 1) above.","47.679415, -122.263650","Magnuson Park, Solid Ground Campus, SDOT street ""A"" St. paralleling Sand Point Way NE on east side.  South of the Sand Point Way NE & NE 70th St intersection in line with the east/west crosswalk on south side of intersection.",Crossing Improvements,SDOT," 1 - Public pedestrian access to and from Magnuson Park and the Solid Ground Campus.  2 - Disabled pedestrian access to and from Magnuson Park, the Solid Ground Campus, and the bus stops that serve them",4,Magnuson Park
Already Funded,,,In the queue,Sand Point Way NE Study/Vison Zero,17-487,,Crosswalk Improvements @ 70th St & Sandpoint Way,No ADA ramps or crosswalk to access North and south bus stops @ NE 70th St. to and from Magnuson  Park.,Install curb ramps and crosswalk,"47.679415, -122.263650",Sand point Way NE & NE 70th St.,Crossing Improvements,SDOT,,4,Magnuson Park
Already Funded,,,,In the queue,17-487,,Crossing improvements @ Sand Point Way & NE 70th St.,No ADA ramps or crosswalk to access North and south bus stops @ NE 70th St. to and from Magnuson  Park.,Install curb ramps and crosswalk,"47.679415, -122.263650",Sand point Way NE & NE 70th St.,Crossing Improvements,SDOT,,4,Magnuson Park
Already Funded,,,In the queue,Sand Point Way NE Study/Vison Zero,17-489,,Crosswalk Improvements @ 70th St & Sandpoint Way,"The pedestrian access to Magnuson Park and from the Solid Ground Campus at NE 70th St & Sand Point Way NE has no ADA access curb ramp, no crosswalk and no wheelchair path between Sand Point Way NE and ""A"" St. at the above-mentioned intersection at the west edge of the Sand Point Campus, just gravel that impedes wheelchairs and walkers' aides alike.","1) Install a curb ramp on the west side of ""A"" St. that is ""in line"" with the east/west crosswalk on the south side of the NE 70th St & Sand Point Way NE intersection.  2) Install an appropriate crosswalk across ""A"" St. that encompasses the curb ramp, the east/west sidewalk along the south side of Phyllis Gutierrez Kenney Pl (terminating at the east side of ""A"" St. across from proposed curb ramp.  3) Pave over or otherwise provide appropriate hard surface between the Sand Point Way NE east sidewalk and the ""A"" St. site of the curb ramp installed in 1) above.","47.681068, -122.262540","Magnuson Park, Solid Ground Campus, SDOT street ""A"" St. paralleling Sand Point Way NE on east side.  South of the Sand Point Way NE & NE 70th St intersection in line with the east/west crosswalk on south side of intersection.",Accessibility Improvements,SDOT,"1 - Public pedestrian access to and from Magnuson Park and the Solid Ground Campus.  2 - Disabled pedestrian access to and from Magnuson Park, the Solid Ground Campus, and the bus stops that serve them.",4,Magnuson Park
Already Funded,,,,In the queue,17-489,,"Pedestrian Safety Improvements at Magnuson Park, Solid Ground Campus, SDOT access road ""A"" St","The pedestrian access to Magnuson Park and from the Solid Ground Campus at NE 70th St & Sand Point Way NE has no ADA access curb ramp, no crosswalk and no wheelchair path between Sand Point Way NE and ""A"" St. at the above-mentioned intersection at the west edge of the Sand Point Campus, just gravel that impedes wheelchairs and walkers' aides alike.","1) Install a curb ramp on the west side of ""A"" St. that is ""in line"" with the east/west crosswalk on the south side of the NE 70th St & Sand Point Way NE intersection.  2) Install an appropriate crosswalk across ""A"" St. that encompasses the curb ramp, the east/west sidewalk along the south side of Phyllis Gutierrez Kenney Pl (terminating at the east side of ""A"" St. across from proposed curb ramp.  3) Pave over or otherwise provide appropriate hard surface between the Sand Point Way NE east sidewalk and the ""A"" St. site of the curb ramp installed in 1) above.","47.681068, -122.262540","Magnuson Park, Solid Ground Campus, SDOT street ""A"" St. paralleling Sand Point Way NE on east side.  South of the Sand Point Way NE & NE 70th St intersection in line with the east/west crosswalk on south side of intersection.",Accessibility Improvements,SDOT,"1 - Public pedestrian access to and from Magnuson Park and the Solid Ground Campus.  2 - Disabled pedestrian access to and from Magnuson Park, the Solid Ground Campus, and the bus stops that serve them.",4,Magnuson Park
Already Funded,,,In the queue,Sand Point Way NE Study/Vison Zero,17-494,,Crossing improvements @ Sand Point Way & NE 77th St.,"Cars speed up to 65 mph, with no sidewalk. It is scary to cross the street at an intersection that has a transit stop used by high school students, parks and nonprofit employees from Magnuson Park and residents.",We need a flashing beacon to cross Sandpoint Way at NE 77th,"47.684750, -122.264510",The intersection at Sandpoint Way and NE 77th by Magnuson Park.,Crossing Improvements,SDOT,"High school students, employees who work in the park including those who work for nonprofits like Earthcore and Outdoors for All, residents and visitors at the park who use transit.",4,Magnuson Park
Already Funded,,,,In the queue,17-494,,Traffic Calming at Sandpoint Way and NE 77th,"Cars speed up to 65 mph, with no sidewalk. It is scary to cross the street at an intersection that has a transit stop used by high school students, parks and nonprofit employees from Magnuson Park and residents.",We need a flashing beacon to cross Sandpoint Way at NE 77th,"47.684750, -122.264510",The intersection at Sandpoint Way and NE 77th by Magnuson Park.,Crossing Improvements,SDOT,"High school students, employees who work in the park including those who work for nonprofits like Earthcore and Outdoors for All, residents and visitors at the park who use transit.",4,Magnuson Park
Already Funded,,,,Lake City Future First has OIS funding for improvements along this block.,17-554,,Add mid-block crossing near Lake City library,There needs to be safe crossing of 28th Ave NE in front of the Lake City library,Install a midblock crosswalk,"47.720122, -122.297675",28th Ave NE between NE 125th and NE 127th,,SDOT,All users of the library; users of transit stop across from library,5,Lake City
Already Funded,15,6,10.5,this project is already in the queue.  Will be constructed in 2017 through Safe Routes to School.,17-583,,Install a flashing beacon @ 35th Ave NE & NE 135th St,"Kids, families, elders, people on wheelchairs (which includes a teacher from Cedar Park Elementary nearby) cross this dangerous intersection at various times, including evenings. A flashing beacon will greatly improve pedestrian safety. The community was using flags to be more visible, but these have been stolen, a more permanent solution is long due before somebody gets injured.","Install a flashing beacon @ the crosswalk at NE 135th St, crossing 35th Ave NE (SW to SE)","47.726431, -122.290956","Crosswalk at NE 135th St, crossing 35th Ave NE (SW to SE)",Crossing Improvements,SDOT,All those mentioned above.,5,Lake City
Already Funded,2,18,10,Is already planned,17-592,,Improve crossing at NW 37th St & Greenwood Ave N,Dangerous to cross NW 137th St and Greenwood Ave N,Improve crossing @ NW 137th St and Greenwood Ave N,"47.728654, -122.355358",NW 137th St and Greenwood Ave N,Crossing Improvements,SDOT,"Broadview K-8 students, residents",5,Broadview
Already Funded,17,19,18,"Safe Routes to School will be installing signage and flashing beacon on Market, near West Woodland Elementary.",17-643,,Traffic-calming on NW Market St,"Cars on NW Market Street in Ballard drive consistently above the speed limit, and in particular, many accelerate too quickly when traveling eastbound from the light at 8th Ave NW. Children walking to West Woodland elementary have to cross Market St either at 8th Ave NW or 6th Ave NW, and neither crossing is particularly pedestrian-friendly. There have been a number of accidents (some with fatalities) over the past couple of years in this stretch of the road.","Better marked crosswalks, perhaps with flashing signs.    and/or    A median strip in the middle of Market St (or a bike lane) to narrow the lanes and visually make the road look less like a highway.    and/or    A school zone speed limit with flashing sign at the appropriate times.    and/or    Stationary ""your speed is XX mph"" signs facing east and west somewhere in between 8th Ave NW and 3rd Ave NW.","47.668650, -122.366180",NW Market St between 8th Ave NW and 3rd Ave NW.,Traffic-Calming,SDOT,"Residents of the neighborhood, residents who live on Market St, children who attend West Woodland elementary, bicycle commuters who ride on 6th or 8th Ave (which are both major conduits from north Seattle to the Burke-Gilman trail.)",6,Ballard
Already Funded,11,0,5.5,71st ST overpass (SDOT) taken care of in budget,17-668,,Pedestrian Safety Improvements @ 71st & 6th Ave NE,"Need a safer  walkway along NE 71st St, near 6th Ave NE.  Hill is very steep and there is a dip in the sidewalk that makes it dangerous for persons in wheel chair.  As a work around, I often end up going in the street.  ",Repair the dip in the sidewalk,"47.680190, -122.321780",71st St & 6th Ave NE,Accessibility Improvements,SDOT,Persons with disabilities,6,Green Lake
Already Funded,20,12,16,This will be funded by the work being done through the Center City Connector Streetcar and WSDOT viaduct projects.,17-700,,Install a curb cut at the NW corner of the 1st Ave and Seneca St intersection,There is a missing curb cut on the northwest corner of 1st and Seneca. This forces people that are in wheel chairs or have strollers to walk into oncoming traffic to cross the street. This creates a scary and dangerous situation.,Build a curb cut.,"47.606141, -122.337564",The Northwest corner of 1st and Seneca.,Crossing Improvements,SDOT,People in wheel chairs and parents with strollers.  ,7,Downtown
Already Funded,4,0,2,Already taken care of,17-710,,Improved crossing @ Stewart & Boren,"On the corner of Stewart and Boren in Seattle, there's a delay between the light turning red and the crosswalk changing to ""walk"" because traffic coming down from capitol hill still has a green light.  I see people try to walk many times a week without realizing that they could be hit by traffic still coming down from the hill.  One time I saw a cyclist physically hit by a car and injured because he didn't realize there was a delay.","A delayed signal sign, changing the timing of the light, or a way to make it more clear that there is still traffic coming down the hill.","47.61692, -122.33275",Stewart and Boren on the Dollar Rent a Car side of the street.,Crossing Improvements,SDOT,The thousands of people who use this crosswalk every day.,7,Denny Triangle
Already Funded,4,0,2,Already taken care of,17-711,,Improved stoplight timing Stewart and Boren,"On the corner of Stewart and Boren in Seattle, there's a delay between the light turning red and the crosswalk changing to ""walk"" because traffic coming down from capitol hill still has a green light.  I see people try to walk many times a week without realizing that they could be hit by traffic still coming down from the hill.  One time I saw a cyclist physically hit by a car and injured because he didn't realize there was a delay.","A delayed signal sign, changing the timing of the light, or a way to make it more clear that there is still traffic coming down the hill.","47.616922, -122.332791",Stewart and Boren on the Dollar Rent a Car side of the street.,Crossing Improvements,SDOT,The thousands of people who use this crosswalk every day.,7,Denny Triangle
Already Funded,16,0,8,In the queue,17-749,,4-way stop at McGraw & 7th Ave W,"We need a 4-way stop and crosswalks at the corner of West McGraw and 7th Avenue West.  Many pedestrians travel through this intersection on their way to the public school on 7th West or Macrina on West McGraw, and there's lots of car traffic.  ",,"47.63958, -122.36624",West McGraw and 7th Avenue West,Crossing Improvements,SDOT,All neighbors on Queen Anne.,7,Queen Anne
Already Funded,16,0,8,"It is part of the Olmsted Boulevard
In the queue",17-750,,4-way stop at McGraw & 7th Ave W,Need a 4-way stop at McGraw and 7th Ave.,Stop signs.,"47.639580, -122.366240","McGraw and 7th Ave. West, on Queen Anne",Crossing Improvements,SDOT,"Cars, people, dogs -- everyone",7,Queen Anne
Already Funded,,,Recently Completed,Not on Parks/SDOT property,17-86,,ADA improvements to stairways @ Bataan Park,improve safety on stairwells ,"""ADA / CPTED Stairway improvements""","47.540667, -122.373061","Bataan Park, SW Holly St, Genese St SW",Accessibility Improvements,SDOT,"pedestrians, motorists, residents",1,High Point
Did Not Advance,10,6,8,,17-551,,Crossing improvments @ NW 3rd Ave & 125th St,Difficult to cross 3rd Ave NW @ 125th St,Crossing improvement at 3rd Ave & 125th St,"47.719675, -122.359693",Crossing improvement at 3rd Ave & 125th St,Crossing Improvements,SDOT,"Residents, families, students",5,Broadview
Did Not Advance,6,9,7.5,,17-001,,Traffic-calming on Ocean View Dr,"We have speeding on our street between SW Marine View DR and 35 Ave SW. People drive way too fast, they use it as a cut- through street. People living on our street need to walk here without sidewalks -senior citizens, some with dementia, some in wheel chairs, as well as children, etc. (Someone just drove by at about 35-40 mph! and this is a 20 mph street.)V",,"47.500610, -122.379400",Arbor Heights ocean view drive between 35th and Marine View Drive and 112th between 45th and MarineView Dr.,Traffic-Calming,SDOT,,1,Arbor Heights
Did Not Advance,6,9,7.5,,17-002,,Traffic-calming on Ocean View Dr,"Cars speed down my road and because we have no sidewalks I am concerned about children, other neighbors, and pets being safe.",Having speed cushions on our street would slow down neighbors that cut down our street (SW Ocean View Dr.)to get to Marine View Dr. SW or 35th SW  instead of driving around on the main arterial (35th SW/Marine View Dr.) to get to their desired location. ,"47.500610, -122.379400",SW Ocean View Drive - between 35 Ave SW and Marine View Dr SW,Traffic-Calming,SDOT,Members of the neighborhood would be safer walking down their own street.,1,Arbor Heights
Did Not Advance,6,9,7.5,,17-003,,Traffic-calming along Ocean View Dr,"We have speeding on our street between SW Marine View DR and 35 Ave SW. People drive way too fast, they use it as a cut- through street. People living on our street need to walk here without sidewalks -senior citizens, some with dementia, some in wheel chairs, as well as children, etc. (Someone just drove by at about 35-40 mph! and this is a 20 mph street.)     Reason for cushions-  ·         The choices for our street are limited because it is a fire truck route and that is the only fix for a fire truck route as I understand it. (Beach Drive SW and 48 Ave SW have cushions to slow traffic down and I believe they are both fire truck routes also.) We don’t even have that many fire trucks using this street!","As mentioned above, we need speed cushions to prevent  vehicles from using SW Ocean View Drive as a short cut. Too often these vehicles are going 40 mph or more and endanger all residents, adults and children alike. The worst speeding happens morning and afternoons when children are either walking to bus stops to go to school or are returning home. Speed cushions would not impede fire trucks or even emergency vehicles but would slow irresponsible speeders.","47.500610, -122.379400",SW Ocean View Drive between 35th Ave. SW and SW Marine View Drive,Traffic-Calming,SDOT,All residents of the Arbor Heights area who live along SW Ocean View Drive or on nearby streets such as 35th and 37th Avenues SW and SW Marine View Drive.,1,Arbor Heights
Did Not Advance,6,9,7.5,,17-004,,Traffic-calming on Ocean View Dr,Cars and trucks speed on our street. We need speed cushions to slow the through traffic down. We've tried putting up signs and sending letters. There are 20 mph signs but people don't pay attention to them.,speed cushions,"47.500610, -122.379400",SW Ocean View Drive - between 35 Ave SW and Marine View Dr SW,Traffic-Calming,SDOT,All of the people who live on this street and walk on the street.,1,Arbor Heights 
Did Not Advance,10,8,9,,17-005,,Signage & enforcement to deter trucks from driving on residential streets.,"Semi trucks driving down my street. This street used to be a creek, so our roads cannot handle the weight of these trucks over time. We are also located near Marra Farm, where families and children spend their time. There is an existing chicane at 4th Ave S and S Barton St to deter these trucks, but they simply drive over them. We have a sign stating ""No trucks over 5 tons"" but that is ignored.","Additional signage at multiple entry points to this area, enforcement, a stronger barrier than the chicane to keep them from coming north from the industrial area.","47.51723, -122.32899",4th Ave S between S 96th St and S Trenton St,Signage,SDOT,"Marra Farm, residents, children",1,South Park
Did Not Advance,13,15,14,,17-007,,Crossing improvement at Olson Pl & 4th Ave SW,Flashing Beacon on Roxbury/Olson and 4th Ave SW.  The south east side of the Delridge district is underfunded when it comes to street and infrastructure.  There is currently a project that addresses Roxbury but it does not go east of 8th Ave SW.    ,"There is a stop light at Roxbury/Olson and 4th Ave SW that allows you only to get halfway across Roxbury. The light allows pedestrians to only get to an island in the middle of the street. Pedestrians are then required to dodge traffic to cross the north side of Roxbury because there no light or flashing beacon.   This would place a flashing beacon to allowing pedestrians to more safely cross this busy arterial.      This project is needed because Roxbury/Olsen is a very busy arterial with cars going in excess of 40 MPH.   The next closest intersections, Olsen/Myers Way and 8th/ Roxbury are both one mile from this intersection.  Therefore, these intersections are too far away to be an alternative.     Roxbury is a transit corridor, has numerous apartment buildings and has a senior apartment building in the area.","47.517970, -122.340040",Roxbury/Olson Place and 4th Ave SW,Crossing Improvements,SDOT,"The South Delridge/Highland Park Neighborhood would benefit from this project.  According to 2010 census data, about half of the population in this census tract (113) is minority: the median income was two-thirds of the Seattle; and 25% of the population speaks a language other than English at home.    ",1,Higland Park
Did Not Advance,20,20,20,,17-013,With 17-014,Crossing improvements to 5-way intersection at 12th and S Dallas,"I live on 12th and Dallas in South Park. It's a very dangerous intersection as there are 5 streets that intersect and there are NO traffic signs at all. I see numerous times a day near accidents. I'm so afraid that one of these days a car will drive into my house after being hit by another car. Cars and semi trucks SPEED through here very fast. There are also a lot of pedestrians that cross and there's not a safe space to cross, especially at night when visibility is limited. ",Adding stop signs or yield signs. Perhaps even a roundabout. Adding crosswalks (with flashing lights) to multiple corners since it's an odd intersection. Adding a dedicated bike lane as well because a lot of cyclists go through here daily. ,"47.519390, -122.315010",Intersection of 14th and Dallas (and Thistle) in South Park,Crossing Improvements,SDOT,"Near by residents and business, bicyclists traveling through, and the numerous daily pedestrians (and dogs they walk). ",1,South Park
Did Not Advance,16,19,17.5,,17-193,,Add ped lighting on S. Henderson St,"Dark, scary, stretch of of S Henderson near the 4300 walking to and from the Rainier Beach Light Rail",Improve lighting for pedestrians along the stretch of S Henderson,"47.523340, -122.278805",approximately the 4300 blf of S Henderson,Lighting,SDOT,"all pedestrians, an ever increasing number with increasing use of Light Rail",2,Rainier Beach
Did Not Advance,13,14,13.5,,17-015,,Construct low - cost sidewalks between 17th Ave SW and 30th Ave SW near Roxhill School,Poor sidewalks between 17th Ave SW and 30th ave sw on north side of Roxbury. Unsafe for kids walking to school. Low visibility. Bad sidewalks.,Marked crosswalks at all streets where they end at Roxbury. Everyone seems to think there aren't crosswalks there.,"47.519681, -122.371390",SW Roxbury St and 17th through 30th ave sw (to roxhill school),School Safety,SDOT,"kids, neighbors, anyone walking",1,South Delridge
Did Not Advance,18,8,13,,17-016,,Pedestrian safety on Henderson & 99 Ped overpass,improve visibility / overall pedestrian safety through redesign of overpass according to CPTED standards,CPTED Trail Improvements,"47.519919, -122.316497",S Henderson St. // SR 99 pedestrian overpass,Other,SDOT,"residents, pedestrians",1,South Park
Did Not Advance,10,16,13,,17-020,,Expand marked crosswalk near Westwood Village, danger to peds and unsafe for drivers - jayu walkers ignore the small crosswalk.   ,Crosswalk between Roxhill Park and Westwood Village - why not install a larger one that spans to the whole bus layover zone?,"47.52104, -122.36587",26th & Barton  - west Seattle,Crossing Improvements,SDOT,Public users of park and Metro ,1,South Delridge
Did Not Advance,3,8,5.5,,17-021,,Wayfinding near Westwood Village,Way finder sidewalk improvements - lack of obvious neighborhood pedestrian connections ,Directional/way finding instructions on sidewalk to connect neighborhood hubs,"47.52138, -122.36671",Between Delridge & Westwood Village,Signage,SDOT,Community pedestrians ,1,South Delridge
Did Not Advance,8,12,10,,17-022,,Add more seating in Marra Dessimone Park,"After a long day at work, people want to relax in the parks.  Need more ADA tables and park benches, especially at Marra Dessimone Park in South Park.",Install ADA accessible tables and benches in the park.,"47.521626, -122.327713",Marra Desimone Park,Park Equipment,Parks,"All people of Seattle, particularly poor people.",1,South Park
Did Not Advance,8,12,10,,17-023,,Install more ADA tables in Marra Dessimone Park,Lack of ADA accessible tables and benches in Marra Dessimone Park.,Install ADA accessible tables and benches in the park.,"47.521626, -122.327713",Marra Desimone Park,Park Equipment,Parks,"Residents using the park, especially children and seniors.",1,South Park
Did Not Advance,8,12,10,,17-024,,Install more ADA tables in Marra Dessimone Park,No ADA tables or park benches at Marra Dessimone Park,Install ADA tables and benches,"47.521626, -122.327713",Marra Desimone Park,Park Equipment,Parks,"children, seniors and disabled who use the park",1,South Park
Did Not Advance,8,12,10,,17-025,,Add more seating in Marra Dessimone Park,There are very few benches/places to sit at Marra Dessimone Park in South Park,Install more benches in the park,"47.521626, -122.327713",Marra Desimone Park,Walkways,Parks,Everyone who uses the park.,1,South Park
Did Not Advance,8,12,10,,17-026,,Install more ADA tables in Marra Dessimone Park,There are no ADA accessible tables at Marra Desimone Park in South Park.,Install ADA accessible tables in the park.,"47.521626, -122.327713",Marra Desimone Park,Park Equipment,Parks,Anyone needing ADA accessible tables.,1,South Park
Did Not Advance,6,18,12,,17-027,,Preserve greenspace @ Marra Farm,preserve greenspace and improve environmental quality at Marra Desimone Park,"""Cottonwood tree canopy replacement- the old trees have been cut down as they have died""","47.522, -122.32928",Marra - Desimone Park Farm,Green Infrastructure,Parks,"park users, pedestrians, residents",1,South Park
Did Not Advance,9,8,8.5,,17-029,,Traffic-calming near 8th Ave S and S Director St,Trucks/trailers pass by and damage the intersection.,Install traffic circle at the intersection of 8th Ave S and S Director St,"47.522260, -122.322990", intersection of 8th Ave S and S Director St,Traffic-Calming,SDOT,"Students and their parents, other pedestrians.",1,South Park
Did Not Advance,9,8,8.5,,17-030,,Traffic-calming near 8th Ave S and S Director St,Intersection of 8th Ave S and S Director St is unsafe due to speeding trucks and trailers.,Install traffic circle at this location,"47.522260, -122.322990",Intersection of 8th Ave S and S Director St.,Traffic-Calming,SDOT,Pedestrians,1,South Park
Did Not Advance,15,18,16.5,,17-032,,Traffic-calming on 15th Ave SW,"Speeding cars on 15th ave sw, from Henderson to Trenton.  Actually, it is from Roxbury to Trenton, but I can only really speak for my street.  ","Speed bumps.  Or perhaps we block off 15th ave sw, south of Henderson, so it is not a thru street.  There are enough accidents at 15th and Henderson as it is.  ","47.522860, -122.353970",15th ave sw.  Between Henderson and Trenton,Traffic-Calming,SDOT,"Everyone who lives on or around 15th ave sw.  And everyone who has had their side mirrors ripped off by speeding cars.  And any child who wants to cross the street, or pet, or anyone who doesn't what to live in fear of being harmed or hurt by reckless, speeding drivers. ",1,Highland Park
Did Not Advance,15,18,16.5,,17-033,,Traffic-calming on 15th Ave SW,"Cars speeding down road, sometimes racing side by side.",Speed bumps would help a lot.,"47.522860, -122.353970",15th Ave SW between Roxbury and Barton ,Traffic-Calming,SDOT,"All neighbors along both sides of the street, people attempting to turn onto the street, pedestrians walking through the neighborhood.",1,Highland Park 
Did Not Advance,16,18,17,,17-050,,Add sidewalk to corner of 5th Ave S and S. Cloverdale St.,No sidewalk on busy S. Cloverdale west of 5th Ave S. Skate Park on S Cloverdale has no lights for safe use at night. ,"Please make sidewalks to keep pedestrians safe from often speeding traffic and industrial scale trucks. Please install lighting in the skate park, it's very dark even in the daytime","47.526470, -122.328230","On S Cloverdale in South Park, west of 5th has no sidewalks. The skate park is between the 509 overpass and 8th Ave S",Lighting,SDOT,"Everyone walking in the neighborhood, kids using the skate park, general safety for all",1,South Park
Did Not Advance,15,8,11.5,,17-034,,Improve crossing @ 17th Ave SW and SW Henderson,"The Highland Park Greenway crossing at 17th Ave SW and SW Henderson is dangerous.  Cars are moving fast and need a better indicator that cyclists are crossing the a very busy SW Henderson.  Greenway users, students of 3 area schools and South Delridge residents need a safer crossing.",Installation of user activated rapid flashing beacons at the North and South side of 17th Ave Sw and SW Henderson would help keep pedestrians safer. ,"47.522870, -122.356480",The intersection is located at17th Ave SW and SW Henderson St. ,Crossing Improvements,SDOT,"This crossing is part of a City Greenway used by cyclists connecting White Center with the West Seattle Bridge/ downtown Seattle.  The intersection is centrally located with students of various ages heading though to Highland Park Elementary,  Denny Middle School, and Chief Sealth HS.  The site is also locate with the Westwood Urban Village and will see much greater density in the near future.  ",1,South Delridge
Did Not Advance,8,4,6,,17-035,,Better sidewalks around Concord Elementary,Need better sidewalk design in the west area of Concord Elementary School,Improve sidewalks in the west area of Concord Elementary School.,"47.523480, -122.324400",Concord Elementary School,Walkways,SDOT,"Seniors, students, pedestrians.",1,South Park
Did Not Advance,8,4,6,,17-036,,Add curb bulbs near Concord Elementary,Curb bulbs are lacking at the intersections around Concord Elementary School,Install curb bulbs at intersections.,"47.523480, -122.324400",Concord Elementary School,Crossing Improvements,SDOT,Students and their parents.,1,South Park
Did Not Advance,0,17,8.5,,17-037 ,With 17-044,Traffic-calming near 8th Ave & S. Cloverdale,Cars speed through a vital intersection in my neighborhood. It's near a freeway entrance and it's an arterial but pedestrians must cross this particular street to access neighborhood offerings.,"Brighter crosswalks  Crossing flags  Signs announcing crosswalk ahead of time, in both directions ","47.523870, -122.323015",8th Ave South and South Cloverdale st ,Traffic-Calming,SDOT,Everyone in South Park,1,South Park 
Did Not Advance,4,8,6,,17-040,,Improve bike path to Fauntleroy Ferry Terminal,"Painted bicycle path near the Fauntleroy Ferry Terminal is overgrown with blackberry vines. The bike trail is on a narrow stretch of road shared with the frequent Rapid Ride C bus and heavy ferry loading/unloading traffic. A request for maintenance for this narrow bike lane located on Fauntleroy Way SW accross from the Ferry Terminal was submitted 123 days ago through Find It Fix It request #16-00168969 but no action resulted and the bike lane is unusable forcing bikes into the busy, narrow, crowded motorized vehicle lane.",SDOT take action on my Find It Fix It request #16-00168969.,"47.525367, -122.392225",East lane of Fauntleroy Way SW from directly across to slightly north of the Fauntleroy Ferry Terminal.,Other,SDOT,People who bike this major arterial from the Westwood and Endolyne shopping districts in the south to the West Seattle neighborhoods and parks to the north. There are no reasonable alternative routes to travel through this corridor.,1,West Seattle Fauntleroy
Did Not Advance,18,20,19,,17-042,,"Install ped walkway on Cloverdale, near 1st Ave S",Walking and biking in and out of South Park is dangerous and unpleasant.,"I would love to see South Park more connected to nearby neighborhoods so that people who live here can access basic things like grocery stores, drug stores, and more transit.  One access point that could be improved is South Cloverdale Street to 1st Ave South.  There is no sidewalk or bike lane to White Center, and I would love to be able to safely get to my job, the grocery stores, drug stores, and buses there.","47.526436, -122.334936",S Cloverdale Street to 1st Ave S,Walkways,SDOT,Residents of South Park and White Center,1,South Park
Did Not Advance,2,16,9,,17-043,,Plant trees on 12th Ave S,street trees were cut down and never replaced - NW curb bulb and SE corner have stumps where trees should be.,remove stumps & plant new trees,"47.526440, -122.317580",12th Ave S & S Cloverdale St,Green Infrastructure,SDOT,"residents, pedestrians, cyclists",1,South Park
Did Not Advance,20,17,18.5,,17-045,,Improved crossings on S. Cloverdale ,"Safer crossing on cloverdale in South park to the elementary school. I work in the area and walk on.l my lunch break, it is scary for me.",Light up crosswalks. Underneath the overpass is scary and gross. It needs to be maintained more often than it is. So many birds. ,"47.52647, -122.32559",Cloverdale south and 7th,Crossing Improvements,SDOT,The kids that wall there and south park has the highest population density of kids in Seattle. ,1,South park
Did Not Advance,16,18,17,,17-047,,"Traffic-calming along 5th Ave S, between Cloverdale & Henderson.",Cars speeding down my road. This road is a path for kids walking to the bus stop or to school. This is also a path to Marra Farm.,"Rumble strips (the small ones with 3+ in succession), signage, painted crosswalks, curb bulbs.","47.52647, -122.32823",5th Ave S between S Cloverdale St and S Henderson St,Traffic-Calming,SDOT,"Children, families, local schools, pets.",1,South Park
Did Not Advance,16,18,17,,17-048,,Add sidewalk to corner of 5th Ave S and S. Cloverdale St.,"There is a rocky, muddy, and unpleasant corner and walkway in my neighborhood to get to our local businesses. ","Sidewalk, curb bulb, pedestrian barrier from speeding cars (planter boxes?)","47.52647, -122.32823","Corner of 5th Ave S and S Cloverdale St - corner that hugs Rasmussen and goes towards Breaktime Deli, Tin Dog Brewing, postal boxes, etc.",Walkways,SDOT,South Park residents and business owners,1,South Park
Did Not Advance,0,17,8.5,,17-049,,Improve crossing at Cloverdale and 8th Ave S.,"Car speeds,  scary crossung ",Flashing lights   Speed radars   Friendlier crosswalk,"47.526470, -122.322920",South Park Neighborhood.  Cloverdale Street and 8th Ave. ,Traffic-Calming,SDOT,"All community,  but specifically the most vulnerable  ( children and youth ) crossing street from school . This is a very busy intersection ",1,South Park 
Did Not Advance,9,18,13.5,,17-360,,Improve walkway between Madrona Park & Madrona K-9,Unsafe street crossing on 33rd ave between Madrona K-8 school and Madrona park. ,"Need to repave uneven path, remove overgrown thorny plants, add safety railing.","47.611680, -122.290350",33rd ave at Madrona Park and Madrona K-8,Walkways,SDOT,Everyone! Especially children going between school and park,3,Madrona
